party_id,district_id,election_year,vote_share_lag,is_new_party,Absent rate within country 2078,Absent rate abroad 2078,Literacy Rate 2078,Primary Education % 2078,Lower Secondary % 2078,Upper Secondary % 2078,SLC or SEE % 2078,Intermediate & equivalent % 2078,Graduate & equivalent % 2078,Post graduate equivalent & above % 2078,IS_Major?,IS_ALTERNATIVE_FORCE?,GenZ_and_Youth_Favored?,Was_Part_Of_Ousted_Government?,Facebook_Presence (In Thousands),Top_leader_fb (in Thousands),facebook_log,leader_following_log,female_ratio,age_18-29_ratio,age_30-39_ratio,age_40-49_ratio,age_50-59_ratio,age_60-69_ratio,age_70+_ratio,total_voters,valid_turnout_lag
P001,1,2082,42.36962112861743,0,7.14,5.17,82.21,30.53,21.99,19.39,9.24,9.82,2.58,1.07,1,0,0,1,374.0,710.0,5.926926025970411,6.566672429803241,0.4654422265767711,0.2089187064775759,0.2609297330809171,0.17969156509127945,0.1419287699137578,0.11376443366878121,0.09476679176768851,90327,52.41
P002,1,2082,34.00765091097711,0,7.14,5.17,82.21,30.53,21.99,19.39,9.24,9.82,2.58,1.07,1,0,0,1,32.0,621.0,3.49650756146648,6.432940092739179,0.4654422265767711,0.2089187064775759,0.2609297330809171,0.17969156509127945,0.1419287699137578,0.11376443366878121,0.09476679176768851,90327,52.41
P003,1,2082,14.499989193628563,0,7.14,5.17,82.21,30.53,21.99,19.39,9.24,9.82,2.58,1.07,1,0,0,0,174.0,756.0,5.1647859739235145,6.6293632534374485,0.4654422265767711,0.2089187064775759,0.2609297330809171,0.17969156509127945,0.1419287699137578,0.11376443366878121,0.09476679176768851,90327,52.41
P004,1,2082,2.1158875272860875,0,7.14,5.17,82.21,30.53,21.99,19.39,9.24,9.82,2.58,1.07,1,1,1,0,401.0,3300.0,5.996452088619021,8.101980731853192,0.4654422265767711,0.2089187064775759,0.2609297330809171,0.17969156509127945,0.1419287699137578,0.11376443366878121,0.09476679176768851,90327,52.41
P005,1,2082,1.376731721022715,0,7.14,5.17,82.21,30.53,21.99,19.39,9.24,9.82,2.58,1.07,1,0,0,0,43.0,910.0,3.784189633918261,6.814542897259958,0.4654422265767711,0.2089187064775759,0.2609297330809171,0.17969156509127945,0.1419287699137578,0.11376443366878121,0.09476679176768851,90327,52.41
P006,1,2082,1.5604400354448984,0,7.14,5.17,82.21,30.53,21.99,19.39,9.24,9.82,2.58,1.07,1,0,0,0,33.0,29.0,3.5263605246161616,3.4011973816621555,0.4654422265767711,0.2089187064775759,0.2609297330809171,0.17969156509127945,0.1419287699137578,0.11376443366878121,0.09476679176768851,90327,52.41
P007,1,2082,0.0561931314703149,0,7.14,5.17,82.21,30.53,21.99,19.39,9.24,9.82,2.58,1.07,1,1,0,0,27.0,679.0,3.332204510175204,6.522092798170152,0.4654422265767711,0.2089187064775759,0.2609297330809171,0.17969156509127945,0.1419287699137578,0.11376443366878121,0.09476679176768851,90327,52.41
P009,1,2082,0.010806371436599,0,7.14,5.17,82.21,30.53,21.99,19.39,9.24,9.82,2.58,1.07,0,1,0,1,43.0,50.0,3.784189633918261,3.9318256327243257,0.4654422265767711,0.2089187064775759,0.2609297330809171,0.17969156509127945,0.1419287699137578,0.11376443366878121,0.09476679176768851,90327,52.41
P010,1,2082,0.0497093086083554,0,7.14,5.17,82.21,30.53,21.99,19.39,9.24,9.82,2.58,1.07,0,0,0,1,7.0,9.0,2.079441541679836,2.302585092994046,0.4654422265767711,0.2089187064775759,0.2609297330809171,0.17969156509127945,0.1419287699137578,0.11376443366878121,0.09476679176768851,90327,52.41
P011,1,2082,0.0518705828956752,0,7.14,5.17,82.21,30.53,21.99,19.39,9.24,9.82,2.58,1.07,0,0,0,0,5.0,8.0,1.791759469228055,2.19722457733622,0.4654422265767711,0.2089187064775759,0.2609297330809171,0.17969156509127945,0.1419287699137578,0.11376443366878121,0.09476679176768851,90327,52.41
