party_id,num_posts,avg_react_Like,avg_react_Love,avg_react_Haha,avg_react_Wow,avg_react_Sad,avg_react_Angry,avg_react_Care,avg_num_comments,avg_num_shares,num_video_posts,avg_video_views,median_video_views,total_reactions,avg_reactions_total,total_followers,avg_followers_total
P001,191,3764.528796,340.9267016,1943.277487,10.17277487,70.0052356,537.4188482,37.71204188,1975.759162,144.2041885,67,53742.07463,15962,1280472,6704.041885,60669000,317638.7435
P002,142,4216.161972,604.1619718,258.471831,4.697183099,71.44366197,6.901408451,39.15492958,748.528169,154.7605634,57,48266.4386,12652,738541,5200.992958,41642000,293253.5211
P003,124,4740.935484,261.6532258,216.9516129,3.701612903,127.4677419,8.75,28.04032258,570.1854839,174.9596774,77,63013.66234,17352,668050,5387.5,43478000,350629.0323
P004,158,26217.55063,9215.208861,68.68987342,45.12025316,1337.113924,5.96835443,1323.139241,3855.056962,415.1835443,59,50960.79661,28066,6037621,38212.79114,89545000,566740.5063
P005,173,3779.254335,265.0057803,19.26589595,2.786127168,17.43930636,1.115606936,34.88439306,257.7687861,115.4913295,63,57958.5873,14362,712717,4119.751445,78456000,453502.8902
P006,40,95.8,3.6,44.725,0.1,0.075,0.35,0.3,29.825,11.15,1,1679,1679,5798,144.95,1200000,30000
P007,81,759.0864198,20.27160494,125.2345679,0.851851852,3.333333333,2.345679012,2.320987654,156.5432099,99.60493827,14,49287.57143,14850,73989,913.4444444,43529800,537404.9383
P009,80,107.35,2.725,3.6125,0.0125,0,0.05,0.3,7.5125,6.65,17,3715.941176,1679,9124,114.05,22080000,276000
P011,40,453.95,9.25,1.675,0.225,0.175,0.2,1.125,25.175,55.85,15,9548.4,4772,18664,466.6,388000,9700
P014,67,962.5522388,46.26865672,80.50746269,1.52238806,17.52238806,1.059701493,5.537313433,157.9552239,24.01492537,18,35809.38889,14031.5,74703,1114.970149,5358000,79970.14925
P046,80,759.4,43.7,60.875,1.175,0.3125,2.5,8.6125,149.25,24.6625,39,4843.461538,1831,70126,876.575,48248000,603100
P057,68,785.5,50.95588235,1.676470588,0.588235294,17.73529412,0.058823529,6.176470588,60.38235294,37.01470588,24,6828.208333,4680.5,58663,862.6911765,2905000,42720.58824
P086,71,2472.704225,31.36619718,34.05633803,0.478873239,3.647887324,0.352112676,3.802816901,138.2112676,53.64788732,26,20842.11538,7792.5,180795,2546.408451,25399000,357732.3944
