district_id,Absent rate within country 2078,Absent rate abroad 2078,Literacy Rate 2078,Primary Education % 2078,Lower Secondary % 2078,Upper Secondary % 2078,SLC or SEE % 2078,Intermediate & equivalent % 2078,Graduate & equivalent % 2078,Post graduate equivalent & above % 2078,age_18-29_ratio,age_30-39_ratio,age_40-49_ratio,age_50-59_ratio,age_60-69_ratio,age_70+_ratio,female_ratio,registered_voters_lag,valid_pr_votes_lag,registered_voters,valid_pr_votes
1,7.14,5.17,82.21,30.53,21.99,19.39,9.24,9.82,2.58,1.07,0.2089187064775759,0.2609297330809171,0.1796915650912794,0.1419287699137578,0.1137644336687812,0.0947667917676885,0.4667270770799116,78397,47056,88285,46269
2,9.86,6.79,82.29,28.29,21.87,19.58,10.85,10.29,2.31,0.98,0.1860774852170032,0.2633465357581167,0.1749902376436461,0.1393088251701439,0.1209904607832199,0.1152864554278701,0.4719287133273832,125219,68837,138932,71182
3,6.89,6.74,83.37,27.97,21.81,19.62,9.34,11.42,3.16,1.3,0.1673274117916043,0.2536527917380257,0.198879249727146,0.149377289061253,0.1209875371534323,0.1097757205285385,0.4843670095207602,204046,126160,224877,123874
4,3.86,9.15,82.83,25.65,19.71,18.09,12.22,12.89,3.88,1.54,0.1591760483338635,0.2275453129970835,0.2202310461826086,0.1659269246023682,0.1130424911392121,0.1140781767448639,0.5009098296274297,585166,385735,663311,416005
5,12.11,5.0,79.7,33.99,22.99,16.17,8.64,8.9,2.29,1.11,0.196522611385104,0.2531388447713784,0.1885563821783833,0.1405918247931121,0.1169021148541335,0.1042882220178885,0.4822464569474454,105046,63344,117554,62102
6,10.16,6.51,81.94,27.0,20.59,20.14,12.24,10.57,2.96,1.5,0.2035495029875439,0.255916977726732,0.1790201949765508,0.1457675321656617,0.1209237458468353,0.0948220462966761,0.4884962395562537,66667,41255,71933,40657
7,15.12,5.77,78.87,32.51,22.23,18.71,9.79,7.73,1.87,0.98,0.1606714056263219,0.2447243293099884,0.1762161474484359,0.1540479938934211,0.1307984669942591,0.1335416567275734,0.4802519067264283,113745,56893,123379,58743
8,12.58,6.37,81.36,28.56,21.65,18.84,10.61,10.25,2.74,1.37,0.1749461684610513,0.2463077897403419,0.1915558370276546,0.1575934135528815,0.1232425585813806,0.1063542326366898,0.499568342863981,105188,63112,116991,66320
9,3.79,6.61,78.61,26.96,19.12,16.83,12.43,12.81,4.3,1.71,0.1556541727859013,0.2314411595683545,0.2140565736543005,0.1633446140093225,0.1197216014303045,0.1157818785518166,0.4910682845586486,644782,417601,735525,458853
10,3.08,6.7,78.1,27.98,18.84,16.83,12.22,12.58,3.72,1.53,0.1571783903811892,0.2417354482782363,0.2159051201060341,0.1676182771174552,0.1128437287522915,0.1047190353647935,0.495895885976647,474831,292993,544941,327498
