state_id,district_id,const_id,party_id,candidate_name,gender,age,vote_received
1,1,1,P001,योगेश कुमार भट्टराई,पुरुष,51,29479
1,1,1,P002,केशव प्रसाद दाहाल,पुरुष,67,16888
1,1,1,P034,बिष्‍णु कुमार लिम्‍बु,पुरुष,65,1591
1,1,1,P006,धन कुमार लिम्बु,पुरुष,36,395
1,1,1,P014,चन्द्र कुमार साँवा,पुरुष,48,386
1,1,1,P055,आईतराज मावोहाङ लिम्बु,पुरुष,37,323
1,1,1,P096,डिल्ली राम बिष्‍ट,पुरुष,50,241
1,1,1,P017,छविन्द्र गुरुङ,पुरुष,62,42
1,2,1,P001,वसन्त कुमार नेम्वाङ्ग,पुरुष,55,38641
1,2,1,P002,भीष्म राज आङदेम्वे,पुरुष,52,28025
1,2,1,P006,प्रेम राज लावती,पुरुष,44,1994
1,2,1,P034,सागर केरुङ,पुरुष,25,1593
1,2,1,P022,दीन नाथ घिमिरे,पुरुष,56,890
1,2,1,P055,भगि रथ लिम्वू,पुरुष,50,418
1,2,1,P096,शान्ती माया लिम्बु (शिगु),महिला,54,295
1,2,1,P017,टोम राज थाम्‍सुहाङ,पुरुष,46,194
1,2,1,P014,दिल बहादुर लावती,पुरुष,51,132
1,3,1,P001,झलनाथ खनाल,पुरुष,67,36805
1,3,1,P002,भुपेन्द्र कट्टेल,पुरुष,61,19638
1,3,1,P006,सुवास राई (चौरासे),पुरुष,35,2059
1,3,1,P017,सूर्य कुमार गुरुङ्ग,पुरुष,55,1710
1,3,1,P092,सचेन घले,पुरुष,27,830
1,3,1,P034,दिल प्रसाद नेम्वाङ,पुरुष,46,471
1,3,1,P014,मान वीर लाप्चा,पुरुष,30,430
1,3,1,P055,ललित बहादुर थेवे,पुरुष,67,171
1,3,2,P001,सुवास चन्द्र नेम्वाङ्ग,पुरुष,64,36517
1,3,2,P002,केशव थापा,पुरुष,58,26865
1,3,2,P034,दिपक कुमार योङ्गहाङ्ग,पुरुष,29,1761
1,3,2,P055,खड्ग प्रसाद पालुंवा,पुरुष,54,1308
1,3,2,P006,कृष्‍ण वहादुर खत्री,पुरुष,51,1106
1,3,2,P017,गलिन्द्र लिम्वु योङहाङ,पुरुष,50,427
1,3,2,P029,दल बहादुर राई,पुरुष,78,149
1,3,2,P014,देप कुमार जवेगु,पुरुष,35,95
1,3,2,P113,टंक मणि राई,पुरुष,44,91
1,3,2,P012,कुल बहादुर लिम्बु,पुरुष,44,70
1,4,1,P003,सुरेन्द्र कुमार कार्की,पुरुष,61,36173
1,4,1,P002,विश्व प्रकाश शर्मा,पुरुष,47,33310
1,4,1,P017,सन्तोष तामाङ्ग,पुरुष,34,1389
1,4,1,P006,भक्त वहादुर लिम्वु,पुरुष,54,1044
1,4,1,P034,धन बहादुर सुब्बा,पुरुष,36,904
1,4,1,P096,भवानी प्रसाद ढकाल,पुरुष,59,370
1,4,1,P055,दान बहादुर तामङ्ग,पुरुष,64,113
1,4,2,P001,पवित्रा निरौला (खरेल),महिला,53,45817
1,4,2,P002,उद्धव थापा,पुरुष,59,32050
1,4,2,P092,नवीन बाँस्तोला,पुरुष,41,1105
1,4,2,P034,मान बहादुर साँवा(लिम्बु),पुरुष,45,608
1,4,2,P017,अकल बहादुर तामाङ्ग,पुरुष,47,558
1,4,2,P055,प्रशुराम मगर,पुरुष,50,531
1,4,2,P096,वृज किशोर ठाकुर,पुरुष,41,416
1,4,2,P014,भक्त बहादुर बुढाथोकी,पुरुष,47,324
1,4,2,P029,महाबीर राई,पुरुष,45,272
1,4,2,P113,होमचन्द्र घिमिरे,पुरुष,47,166
1,4,2,P023,गणेश प्रसाद सिवाकोटी,पुरुष,49,110
1,4,3,P005,राजेन्द्र प्रसाद लिङ्देन,पुरुष,52,44614
1,4,3,P002,कृष्ण प्रसाद सिटौला,पुरुष,68,31171
1,4,3,P022,नवराज खरेल,पुरुष,46,1306
1,4,3,P029,सुन्दरलाल शाह,पुरुष,46,378
1,4,3,P017,श्याम बहादुर लिम्वु,पुरुष,31,299
1,4,3,P096,देवीरमण भट्टराई,पुरुष,62,224
1,4,3,P000,विरेन्द्र प्रसाद सापकोटा,पुरुष,50,192
1,4,3,P023,सुजाता ओली (उप्रेती),महिला,57,188
1,4,3,P055,सेकेन्द्र राजवँशी,पुरुष,65,161
1,4,3,P092,साजन सुब्वा,पुरुष,25,153
1,4,3,P034,मिन प्रसाद चम्लागाईँ,पुरुष,56,143
1,4,3,P012,अविचन्द्र भण्डारी,पुरुष,44,103
1,4,4,P001,लाल प्रसाद साँवा लिम्बू,पुरुष,50,43515
1,4,4,P002,देउ कुमार थेवे,पुरुष,52,26822
1,4,4,P034,ज्ञान बहादुर इम्बुङ लिम्बु,पुरुष,45,1132
1,4,4,P092,तुलसीराज उप्रेती,पुरुष,31,665
1,4,4,P006,लाहान सिं तुम्बापो,पुरुष,59,472
1,4,4,P096,तेज बहादुर थापा,पुरुष,63,332
1,4,4,P055,अर्जुन देव सेर्मा,पुरुष,37,288
1,4,4,P113,हरीभक्त संग्रौला,पुरुष,65,151
1,4,4,P017,रुद्र बहादुर राई,पुरुष,39,94
1,4,4,P111,सुभाष अधिकारी,पुरुष,41,90
1,4,4,P000,एज्ञ बहादुर खड्का,पुरुष,56,37
1,4,4,P000,पर्शुराम काफले,पुरुष,46,18
1,4,4,P000,डिल्ली प्रसाद कट्टेल,पुरुष,38,13
1,4,5,P001,के.पी शर्मा ओली,पुरुष,65,57139
1,4,5,P002,खगेन्द्र अधिकारी,पुरुष,43,28297
1,4,5,P006,सत्‍यदेव यादव,पुरुष,63,1915
1,4,5,P034,भानुभक्त भट्टराई,पुरुष,49,1380
1,4,5,P022,घनश्याम गुरागाई,पुरुष,41,642
1,4,5,P092,प्रकाश गौतम,पुरुष,50,611
1,4,5,P055,पदम बहादुर जवेगु,पुरुष,40,519
1,4,5,P014,भेषराज भट्टराई,पुरुष,36,296
1,4,5,P096,चेतनाथ थापा,पुरुष,44,257
1,4,5,P017,सान बहादुर मेचे,पुरुष,34,116
1,4,5,P113,वासु देव दुलाल,पुरुष,38,99
1,4,5,P000,प्रेम बहादुर खडका,पुरुष,41,55
1,4,5,P000,ईन्द्र प्रसाद न्यौपाने,पुरुष,52,13
1,4,5,P000,इन्द्र राज अधिकारी,पुरुष,48,6
1,5,1,P001,राजेन्द्र प्रसाद गौत्तम,पुरुष,54,32769
1,5,1,P002,दिपक खड्का,पुरुष,46,31639
1,5,1,P006,भवानी प्रसाद राई,पुरुष,53,587
1,5,1,P014,फरेन्द्र शर्म (दाहाल),पुरुष,38,230
1,5,1,P034,राज कुमार लिम्बु,पुरुष,30,191
1,5,1,P055,भरत राई (लाङछवा),पुरुष,74,168
1,5,1,P017,नरेन्द्र राज राई,पुरुष,45,125
1,5,1,P096,गोपाल राज पौडेल,पुरुष,53,117
1,5,1,P029,ललित गुरुङ्ग,पुरुष,26,87
1,5,1,P111,ट‌ंक बहादुर न्यौपाने,पुरुष,33,37
1,5,1,P000,गुप्त बहादुर श्रेष्ठ,पुरुष,57,17
1,6,1,P001,भवानी प्रसाद खापुङ,पुरुष,56,21335
1,6,1,P002,सिता गुरुङ्ग,महिला,41,19314
1,6,1,P034,शंकर मान लिम्बु,पुरुष,37,910
1,6,1,P014,टंक बहादुर भट्टराई,पुरुष,60,170
1,6,1,P006,तुलसी प्रसाद अधिकारी,पुरुष,48,156
1,6,1,P022,डिल्ली बहादुर बुढाथोकी,पुरुष,26,145
1,6,1,P055,सागर नाथ रेग्मी,पुरुष,59,97
1,6,1,P113,काली बहादुर फुदोङ,पुरुष,54,50
