state_id,district_id,const_id,party_id,candidate_name,gender,age,vote_received,qualification
1,1,1,P001,योगेश कुमार भट्टराई,पुरुष,56,21943,Masters
1,1,1,P003,खेल प्रसाद बुडाक्षेत्री,पुरुष,46,21735,Proficiency Certificate
1,1,1,P034,होम प्रसाद तुम्बाहाम्फे,पुरुष,56,941,S.L.C.
1,1,1,P006,चन्द्र मादेन,पुरुष,49,628,Bachelor
1,1,1,P005,राम बहादुर कार्की,पुरुष,65,406,Bachelor
1,1,1,P055,इन्द्र कुमार लिम्बू,पुरुष,45,266,Bachelor
1,1,1,P000,सन्जु कुमार पालुंवा,पुरुष,66,192,S.L.C.
1,1,1,P017,विक्रम लिम्वु,पुरुष,28,134,S.L.C.
1,1,1,P010,चैतन्य  प्रकाश  केदेम ,पुरुष,54,61,S.L.C.
1,1,1,P090,कृष्ण वहादुर लिम्बु,पुरुष,56,56,S.L.C.
1,1,1,P000,हरि प्रसाद बराल,पुरुष,69,29,Proficiency Certificate
1,2,1,P001,वसन्त कुमार नेम्वाङ्ग,पुरुष,60,32135,स्नातक
1,2,1,P002,भीष्म राज आङदेम्वे,पुरुष,57,32089,"आई, एल."
1,2,1,P005,कमल वहादुर चेम्जोङ,पुरुष,60,1578,वि.एल.
1,2,1,P006,प्रेम राज लावती,पुरुष,49,1274,प्रमाणपत्र तह 
1,2,1,P034,जस बहादुर योङहाङ,पुरुष,74,1011,साक्षर
1,2,1,P022,दीन नाथ घिमिरे,पुरुष,61,816,स्नाकोत्तर
1,2,1,P004,दल प्रसाद लिङदेन,पुरुष,45,526,स्नातक
1,2,1,P017,राम कुमार तुम्रोक,पुरुष,44,522,सामान्य
1,2,1,P055,नरेन्द्र प्रसाद कुरुम्‍वाङ,पुरुष,65,302,कक्षा १०
1,2,1,P061,मदन कुमार पोख्रेल,पुरुष,49,253,UNDER SLC
1,2,1,P000,दल बहादुर आङदेम्बे,पुरुष,40,108,S.L.C.
1,2,1,P000,लाख वहादुर पालूङ्वा,पुरुष,39,86,एम.फिल.
1,2,1,P090,भिम बहादुर तामाङ,पुरुष,32,39,स्नातक
