district_id,party_id,votes_received,year
1,P001,20740,2074
1,P002,14799,2074
1,P003,6341,2074
1,P034,2009,2074
1,P014,746,2074
1,P006,520,2074
1,P055,508,2074
1,P005,446,2074
1,P059,236,2074
1,P022,133,2074
1,P058,132,2074
1,P092,126,2074
1,P096,95,2074
1,P097,39,2074
1,P017,30,2074
1,P098,28,2074
1,P011,17,2074
1,P074,15,2074
1,P099,10,2074
1,P100,7,2074
1,P101,7,2074
1,P073,6,2074
1,P102,6,2074
1,P103,5,2074
1,P027,4,2074
1,P033,4,2074
1,P105,4,2074
1,P106,4,2074
1,P023,3,2074
1,P018,3,2074
1,P029,3,2074
1,P107,3,2074
1,P104,3,2074
1,P039,3,2074
1,P012,3,2074
1,P108,3,2074
1,P021,2,2074
1,P109,2,2074
1,P036,2,2074
1,P110,2,2074
1,P015,1,2074
1,P111,1,2074
1,P112,1,2074
1,P113,1,2074
1,P114,1,2074
1,P115,1,2074
1,P116,1,2074
1,P117,0,2074
1,P091,0,2074
2,P001,26933,2074
2,P002,17935,2074
2,P003,10191,2074
2,P005,4375,2074
2,P006,2383,2074
2,P034,2300,2074
2,P097,1987,2074
2,P055,623,2074
2,P096,474,2074
2,P022,385,2074
2,P017,309,2074
2,P092,235,2074
2,P014,176,2074
2,P058,144,2074
2,P111,104,2074
2,P059,78,2074
2,P011,29,2074
2,P074,25,2074
2,P106,18,2074
2,P113,16,2074
2,P029,16,2074
2,P102,9,2074
2,P114,8,2074
2,P101,8,2074
2,P104,7,2074
2,P039,7,2074
2,P103,6,2074
2,P027,5,2074
2,P099,5,2074
2,P091,4,2074
2,P100,4,2074
2,P116,4,2074
2,P012,4,2074
2,P033,4,2074
2,P036,4,2074
2,P023,4,2074
2,P015,3,2074
2,P108,3,2074
2,P110,3,2074
2,P105,2,2074
2,P098,2,2074
2,P021,2,2074
2,P018,2,2074
2,P109,1,2074
2,P117,0,2074
2,P073,0,2074
2,P107,0,2074
2,P115,0,2074
2,P112,0,2074
3,P001,61630,2074
3,P002,42392,2074
3,P003,7226,2074
3,P006,3357,2074
3,P005,2569,2074
3,P034,2372,2074
3,P017,1863,2074
3,P055,1459,2074
3,P092,1236,2074
3,P058,426,2074
3,P014,317,2074
3,P022,216,2074
3,P059,206,2074
3,P097,145,2074
3,P029,140,2074
3,P113,89,2074
3,P023,85,2074
3,P074,70,2074
3,P096,51,2074
3,P012,42,2074
3,P111,41,2074
3,P011,41,2074
3,P098,24,2074
3,P114,19,2074
3,P039,18,2074
3,P103,13,2074
3,P027,13,2074
3,P102,11,2074
3,P101,11,2074
3,P108,10,2074
3,P104,9,2074
3,P100,9,2074
3,P109,7,2074
3,P099,6,2074
3,P110,6,2074
3,P036,5,2074
3,P021,4,2074
3,P107,3,2074
3,P116,3,2074
3,P105,3,2074
3,P018,2,2074
3,P106,2,2074
3,P073,2,2074
3,P115,2,2074
3,P112,2,2074
3,P033,1,2074
3,P015,1,2074
3,P117,1,2074
3,P091,0,2074
4,P001,160639,2074
4,P002,121489,2074
4,P003,33399,2074
4,P005,32820,2074
4,P092,9132,2074
4,P034,5641,2074
4,P006,5537,2074
4,P029,4055,2074
4,P017,2465,2074
4,P055,2144,2074
4,P022,1348,2074
4,P097,1126,2074
4,P058,992,2074
4,P096,983,2074
4,P014,851,2074
4,P059,534,2074
4,P023,513,2074
4,P113,331,2074
4,P074,303,2074
4,P111,194,2074
4,P011,180,2074
4,P114,145,2074
4,P104,95,2074
4,P012,90,2074
4,P106,86,2074
4,P099,78,2074
4,P098,63,2074
4,P100,57,2074
4,P102,52,2074
4,P036,42,2074
4,P101,39,2074
4,P018,32,2074
4,P039,29,2074
4,P107,27,2074
4,P103,25,2074
4,P027,23,2074
4,P108,20,2074
4,P110,19,2074
4,P021,17,2074
4,P116,15,2074
4,P115,15,2074
4,P033,14,2074
4,P073,14,2074
4,P105,14,2074
4,P109,12,2074
4,P117,11,2074
4,P015,11,2074
4,P112,7,2074
4,P091,7,2074
5,P002,26990,2074
5,P001,25914,2074
5,P003,5948,2074
5,P005,1715,2074
5,P006,818,2074
5,P034,384,2074
5,P014,271,2074
5,P097,224,2074
5,P092,145,2074
5,P058,142,2074
5,P022,125,2074
5,P017,118,2074
5,P096,115,2074
5,P055,89,2074
5,P059,78,2074
5,P029,34,2074
5,P111,33,2074
5,P011,30,2074
5,P074,27,2074
5,P098,20,2074
5,P012,19,2074
5,P099,16,2074
5,P023,11,2074
5,P102,9,2074
5,P100,8,2074
5,P114,7,2074
5,P018,6,2074
5,P106,6,2074
5,P033,3,2074
5,P113,3,2074
5,P117,3,2074
5,P027,3,2074
5,P039,3,2074
5,P021,3,2074
5,P101,3,2074
5,P036,3,2074
5,P110,2,2074
5,P103,2,2074
5,P091,2,2074
5,P116,2,2074
5,P112,2,2074
5,P073,1,2074
5,P115,1,2074
5,P109,1,2074
5,P015,1,2074
5,P104,1,2074
5,P108,1,2074
5,P107,1,2074
5,P105,1,2074
6,P001,18418,2074
6,P002,16009,2074
6,P003,3003,2074
6,P034,1582,2074
6,P014,605,2074
6,P055,305,2074
6,P092,269,2074
6,P006,212,2074
6,P005,158,2074
6,P097,120,2074
6,P058,116,2074
6,P022,111,2074
6,P059,85,2074
6,P113,52,2074
6,P017,38,2074
6,P096,36,2074
6,P012,24,2074
6,P011,20,2074
6,P074,17,2074
6,P029,11,2074
6,P114,7,2074
6,P023,7,2074
6,P098,7,2074
6,P101,4,2074
6,P039,4,2074
6,P105,4,2074
6,P021,4,2074
6,P110,3,2074
6,P109,3,2074
6,P099,3,2074
6,P111,3,2074
6,P108,2,2074
6,P091,2,2074
6,P104,2,2074
6,P100,2,2074
6,P102,2,2074
6,P018,2,2074
6,P117,1,2074
6,P106,1,2074
6,P033,1,2074
6,P115,0,2074
6,P027,0,2074
6,P036,0,2074
6,P103,0,2074
6,P015,0,2074
6,P073,0,2074
6,P116,0,2074
6,P107,0,2074
6,P112,0,2074
7,P001,25099,2074
7,P002,15710,2074
7,P003,11154,2074
7,P006,2604,2074
7,P097,473,2074
7,P022,306,2074
7,P017,255,2074
7,P058,155,2074
7,P029,155,2074
7,P005,151,2074
7,P092,135,2074
7,P113,129,2074
7,P014,108,2074
7,P096,105,2074
7,P099,58,2074
7,P074,47,2074
7,P011,34,2074
7,P055,23,2074
7,P034,22,2074
7,P102,18,2074
7,P100,18,2074
7,P059,15,2074
7,P023,14,2074
7,P027,11,2074
7,P114,11,2074
7,P101,11,2074
7,P110,8,2074
7,P012,8,2074
7,P103,7,2074
7,P105,6,2074
7,P116,5,2074
7,P109,4,2074
7,P098,4,2074
7,P036,4,2074
7,P111,3,2074
7,P039,3,2074
7,P106,3,2074
7,P018,3,2074
7,P107,3,2074
7,P108,2,2074
7,P115,2,2074
7,P073,2,2074
7,P033,1,2074
7,P112,1,2074
7,P117,1,2074
7,P015,1,2074
7,P021,1,2074
7,P104,0,2074
7,P091,0,2074
8,P001,30947,2074
8,P002,12320,2074
8,P003,7479,2074
8,P097,6161,2074
8,P006,2554,2074
8,P096,825,2074
8,P034,689,2074
8,P092,547,2074
8,P005,334,2074
8,P014,200,2074
8,P022,198,2074
8,P058,171,2074
8,P055,167,2074
8,P012,93,2074
8,P029,68,2074
8,P017,45,2074
8,P074,37,2074
8,P011,33,2074
8,P113,30,2074
8,P104,29,2074
8,P059,27,2074
8,P023,20,2074
8,P027,17,2074
8,P102,12,2074
8,P103,10,2074
8,P114,10,2074
8,P098,10,2074
8,P100,8,2074
8,P101,7,2074
8,P021,7,2074
8,P018,6,2074
8,P106,5,2074
8,P112,4,2074
8,P109,4,2074
8,P033,4,2074
8,P111,4,2074
8,P015,4,2074
8,P117,3,2074
8,P105,3,2074
8,P099,3,2074
8,P107,3,2074
8,P115,3,2074
8,P036,3,2074
8,P108,2,2074
