district_id,const_id,party_id,vote_received
1,1,P001,19604
1,1,P002,15735
1,1,P003,5162
1,1,P008,1545
1,1,P004,978
1,1,P034,932
1,1,P006,722
1,1,P005,637
1,1,P055,330
1,1,P017,125
1,1,P059,88
1,1,P022,62
1,1,P058,41
1,1,P012,37
1,1,P090,36
1,1,P013,29
1,1,P007,26
1,1,P011,24
1,1,P010,23
1,1,P052,15
1,1,P061,14
1,1,P074,13
1,1,P104,10
1,1,P041,9
1,1,P045,9
1,1,P073,7
1,1,P039,7
1,1,P016,5
1,1,P009,5
1,1,P024,5
1,1,P033,5
1,1,P023,5
1,1,P089,5
1,1,P026,4
1,1,P093,3
1,1,P088,3
1,1,P094,2
1,1,P091,2
1,1,P050,2
1,1,P092,1
1,1,P018,1
1,1,P048,1
1,1,P036,0
1,1,P053,0
1,1,P031,0
1,1,P049,0
1,1,P095,0
2,1,P001,26592
2,1,P002,19044
2,1,P003,12169
2,1,P008,3387
2,1,P005,2442
2,1,P004,1948
2,1,P006,1711
2,1,P034,1640
2,1,P017,673
2,1,P055,432
2,1,P061,212
2,1,P022,206
2,1,P059,114
2,1,P058,65
2,1,P090,52
2,1,P089,51
2,1,P010,49
2,1,P007,48
2,1,P039,41
2,1,P011,40
2,1,P012,35
2,1,P013,33
2,1,P024,24
2,1,P104,24
2,1,P074,23
2,1,P094,16
2,1,P041,14
2,1,P045,14
2,1,P009,11
2,1,P026,10
2,1,P033,8
2,1,P088,8
2,1,P048,6
2,1,P031,5
2,1,P092,5
2,1,P093,5
2,1,P049,4
2,1,P018,3
2,1,P095,3
2,1,P073,3
2,1,P036,3
2,1,P023,2
2,1,P091,2
2,1,P016,2
2,1,P053,1
2,1,P050,1
2,1,P052,1
3,1,P001,20564
3,1,P002,16450
3,1,P008,8021
3,1,P004,4451
3,1,P017,2115
3,1,P003,1649
3,1,P005,1300
3,1,P006,1182
3,1,P055,261
3,1,P007,148
3,1,P034,116
3,1,P059,85
3,1,P013,71
3,1,P058,51
3,1,P022,51
3,1,P073,48
3,1,P089,44
3,1,P011,42
3,1,P010,39
3,1,P061,32
3,1,P012,28
3,1,P045,22
3,1,P024,21
3,1,P093,18
3,1,P041,17
3,1,P090,17
3,1,P033,13
3,1,P074,12
3,1,P009,11
3,1,P023,11
3,1,P094,9
3,1,P088,9
3,1,P104,9
3,1,P036,9
3,1,P026,8
3,1,P039,6
3,1,P092,6
3,1,P048,6
3,1,P018,6
3,1,P049,6
3,1,P016,5
3,1,P031,5
3,1,P052,4
3,1,P091,3
3,1,P053,3
3,1,P050,3
3,1,P095,2
3,2,P001,26562
3,2,P002,22333
3,2,P003,5153
3,2,P004,4686
3,2,P017,1661
3,2,P055,1413
3,2,P034,1329
3,2,P005,1191
3,2,P006,906
3,2,P008,586
3,2,P022,129
3,2,P007,124
3,2,P059,105
3,2,P010,99
3,2,P011,71
3,2,P058,60
3,2,P090,51
3,2,P013,50
3,2,P104,41
3,2,P012,37
3,2,P026,31
3,2,P050,29
3,2,P073,26
3,2,P024,21
3,2,P009,20
3,2,P074,19
3,2,P041,17
3,2,P089,13
3,2,P016,13
3,2,P094,12
3,2,P092,11
3,2,P049,10
3,2,P045,8
3,2,P031,8
3,2,P036,7
3,2,P033,7
3,2,P088,6
3,2,P039,6
3,2,P093,5
3,2,P048,5
3,2,P061,5
3,2,P053,5
3,2,P052,4
3,2,P023,4
3,2,P095,3
3,2,P091,3
3,2,P018,0
4,1,P002,25420
4,1,P001,22547
4,1,P004,13750
4,1,P005,5058
4,1,P003,5057
4,1,P017,2038
4,1,P034,643
4,1,P006,612
4,1,P008,529
4,1,P010,485
4,1,P013,247
4,1,P007,226
4,1,P041,106
4,1,P022,96
4,1,P059,91
4,1,P061,91
4,1,P055,79
4,1,P009,74
4,1,P011,64
4,1,P089,57
4,1,P058,56
4,1,P104,55
4,1,P090,42
4,1,P093,40
4,1,P050,39
4,1,P033,34
4,1,P012,32
4,1,P045,27
4,1,P024,25
4,1,P023,25
4,1,P074,19
4,1,P039,15
4,1,P026,13
4,1,P031,13
4,1,P049,12
4,1,P094,11
4,1,P016,10
4,1,P052,8
4,1,P036,6
4,1,P088,6
4,1,P073,5
4,1,P048,5
4,1,P092,4
4,1,P091,3
4,1,P018,2
4,1,P053,1
4,1,P095,1
4,2,P001,26490
4,2,P004,22517
4,2,P002,15498
4,2,P005,7880
4,2,P003,3869
4,2,P008,1169
4,2,P034,973
4,2,P017,794
4,2,P013,697
4,2,P055,490
4,2,P010,361
4,2,P007,315
4,2,P073,314
4,2,P022,262
4,2,P006,155
4,2,P059,152
4,2,P090,102
4,2,P009,99
4,2,P061,92
4,2,P093,91
4,2,P041,91
4,2,P050,84
4,2,P033,80
4,2,P011,69
4,2,P045,59
4,2,P026,57
4,2,P058,48
4,2,P024,42
4,2,P012,40
4,2,P089,34
4,2,P049,34
4,2,P092,28
4,2,P016,27
4,2,P094,26
4,2,P074,25
4,2,P048,24
4,2,P104,21
4,2,P039,18
4,2,P053,17
4,2,P036,14
4,2,P023,14
4,2,P088,14
4,2,P018,13
4,2,P052,12
4,2,P031,9
4,2,P091,8
4,2,P095,7
4,3,P002,25535
4,3,P005,19743
4,3,P001,19460
4,3,P004,7812
4,3,P003,7595
4,3,P017,1045
4,3,P006,731
4,3,P013,443
4,3,P007,360
4,3,P008,354
4,3,P034,274
4,3,P022,261
4,3,P010,173
4,3,P059,129
4,3,P033,101
4,3,P055,101
4,3,P045,68
4,3,P058,68
4,3,P024,62
4,3,P011,60
4,3,P073,51
4,3,P090,48
4,3,P093,44
4,3,P061,44
4,3,P089,39
4,3,P041,35
4,3,P050,31
4,3,P074,29
4,3,P026,28
4,3,P009,25
4,3,P023,25
4,3,P094,15
4,3,P012,14
4,3,P091,14
4,3,P092,12
4,3,P104,11
4,3,P088,11
4,3,P031,9
4,3,P052,9
4,3,P095,8
4,3,P049,7
4,3,P039,7
4,3,P016,7
4,3,P053,6
4,3,P036,6
4,3,P018,5
4,3,P048,3
4,4,P001,23411
4,4,P002,17374
4,4,P004,15160
4,4,P003,6465
4,4,P005,6415
4,4,P034,1407
4,4,P013,1335
4,4,P017,655
4,4,P007,541
4,4,P008,295
4,4,P055,291
4,4,P006,280
4,4,P022,254
4,4,P010,162
4,4,P089,115
4,4,P033,107
4,4,P011,81
4,4,P058,72
4,4,P059,69
4,4,P093,61
4,4,P026,51
4,4,P024,49
4,4,P045,43
4,4,P104,40
4,4,P009,39
4,4,P012,36
4,4,P050,33
4,4,P061,31
4,4,P090,31
4,4,P041,30
4,4,P039,27
4,4,P073,26
4,4,P023,18
4,4,P088,17
4,4,P092,17
4,4,P036,16
4,4,P074,14
4,4,P094,13
4,4,P016,12
4,4,P049,10
4,4,P031,9
4,4,P095,9
4,4,P048,7
4,4,P053,5
4,4,P018,4
4,4,P052,4
4,4,P091,1
4,5,P001,35872
4,5,P004,18205
4,5,P002,16859
4,5,P003,8680
4,5,P005,7370
4,5,P007,1850
4,5,P034,1447
4,5,P017,878
4,5,P006,775
4,5,P008,556
4,5,P013,413
4,5,P022,337
4,5,P055,232
4,5,P059,204
4,5,P010,192
4,5,P011,134
4,5,P089,100
4,5,P058,90
4,5,P012,62
4,5,P041,60
4,5,P045,60
4,5,P009,49
4,5,P095,44
4,5,P026,43
4,5,P090,37
4,5,P033,36
4,5,P061,36
4,5,P073,26
4,5,P052,26
4,5,P093,25
4,5,P104,25
4,5,P074,23
4,5,P049,22
4,5,P036,19
4,5,P024,18
4,5,P016,17
4,5,P039,17
4,5,P094,15
4,5,P031,13
4,5,P092,12
4,5,P053,11
4,5,P023,11
4,5,P050,8
4,5,P048,8
4,5,P088,6
4,5,P018,6
4,5,P091,2
5,1,P001,25138
5,1,P002,22026
5,1,P003,7052
5,1,P008,2548
5,1,P004,2427
5,1,P006,856
5,1,P005,660
5,1,P017,391
5,1,P034,208
5,1,P022,151
5,1,P061,75
5,1,P059,71
5,1,P089,70
5,1,P012,64
5,1,P058,56
5,1,P007,45
5,1,P013,38
5,1,P011,37
5,1,P055,19
5,1,P010,18
5,1,P090,14
5,1,P095,13
5,1,P094,10
5,1,P088,9
5,1,P026,9
5,1,P024,9
5,1,P074,8
5,1,P009,8
5,1,P036,7
5,1,P045,7
5,1,P048,7
