district_id,नेपाल कम्युनिष्ट पार्टी (एमाले),नेपाली काँग्रेस,एकल चिन्ह गोलाकारभित्रको हसिया हथौडा लिएका,राष्ट्रिय जनता पार्टी नेपाल,"संघीय समाजवादी फोरम, नेपाल",विवेकशील साझा पार्टी,राष्ट्रिय प्रजातन्त्र पार्टी,राष्ट्रिय प्रजातन्त्र पार्टी (प्रजातान्त्रिक),"नयाँ शक्ति पार्टी, नेपाल",राष्ट्रिय जनमोर्चा,नेपाल मजदुर किसान पार्टी,एकल चिन्ह हसिया तारा लिएका,नेपाल संघीय समाजवादी पार्टी,राष्ट्रिय जनमुक्ति पार्टी,एकीकृत राष्ट्रिय प्रजातन्त्र पार्टी(राष्ट्रवादी),नेपाली जनता दल,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,बहुजन शक्ति पार्टी,मंगोल नेशनल अर्गनाइजेसन,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च(थरुहट),"देशभक्त जनगणतान्त्रिक मोर्चा, नेपाल",नेपाल जनता पार्टी,जनशक्ति नेपाल,आमूल परिवर्तन मसिहा पार्टी नेपाल,राष्ट्रिय मुक्ति आन्दोलन नेपाल,नेपाः राष्ट्रिय पार्टी,नेपाल लोकतान्त्रिक जनता काँगे्रस,चुरेभावर लोकतान्त्रिक पार्टी,ग्रीन पार्टी नेपाल,नेपाल समावेशी पार्टी,नेपाल युवा किसान पार्टी,नेपाली कांगे्रस (बी.पी.),तामाङसालिङ लोकतान्त्रिक पार्टी ,नेपालवाद,नेपाल कम्युनिष्ट पार्टी (माक्र्सवादी),नेपाल सुकुम्बासी पार्टी (लोकतान्त्रिक),"राष्ट्रिय समाजवादी पार्टी, नेपाल","राष्ट्रिय यथार्थवादी पार्टी, नेपाल",नेपाल दर्शन,नेपाल नौलो जनवादी पार्टी,एकल चिन्ह सिपाही लिएका,युवा नेपाल पार्टी,नेपाल दलित पार्टी,"जनप्रजातान्त्रिक पार्टी, नेपाल",देशभक्त लोकतान्त्रिक पार्टी,संघीय खम्बुवान लोकतान्त्रिक पार्टी नेपाल,लिवरल डेमोक्रेटीक पार्टी,देशभक्त समाज,हाम्रो पार्टी
1,20740,14799,6341,3,520,126,446,39,746,3,17,133,3,508,95,132,2009,3,30,2,1,3,1,236,15,4,28,7,1,3,3,6,10,6,4,2,7,4,2,5,3,1,0,4,1,2,1,1,0
2,26933,17935,10191,16,2383,235,4375,1987,176,4,29,385,7,623,474,144,2300,2,309,4,16,4,8,78,25,2,2,4,104,7,3,0,5,9,4,2,8,5,3,6,0,4,4,18,0,1,0,3,0
3,61630,42392,7226,140,3357,1236,2569,145,317,42,41,216,9,1459,51,426,2372,2,1863,5,89,85,19,206,70,3,24,9,41,18,10,2,6,11,1,4,11,13,6,13,3,3,0,2,2,7,2,1,1
4,160639,121489,33399,4055,5537,9132,32820,1126,851,90,180,1348,95,2144,983,992,5641,32,2465,42,331,513,145,534,303,14,63,57,194,29,20,14,78,52,14,17,39,23,19,25,27,15,7,86,7,12,15,11,11
5,25914,26990,5948,34,818,145,1715,224,271,19,30,125,1,89,115,142,384,6,118,3,3,11,7,78,27,1,20,8,33,3,1,1,16,9,3,3,3,3,2,2,1,2,2,6,2,1,1,1,3
6,18418,16009,3003,11,212,269,158,120,605,24,20,111,2,305,36,116,1582,2,38,0,52,7,7,85,17,4,7,2,3,4,2,0,3,2,1,4,4,0,3,0,0,0,2,1,0,3,0,0,1
7,25099,15710,11154,155,2604,135,151,473,108,8,34,306,0,23,105,155,22,3,255,4,129,14,11,15,47,6,4,18,3,3,2,2,58,18,1,1,11,11,8,7,3,5,0,3,1,4,2,1,1
8,30947,12320,7479,68,2554,547,334,6161,200,93,33,198,29,167,825,171,689,6,45,3,30,20,10,27,37,3,10,8,4,2,2,1,3,12,4,7,7,17,2,10,3,1,0,5,4,4,3,4,3
9,144824,160543,44951,8897,30315,7289,4422,1500,1250,112,457,1950,230,881,767,1002,3900,53,845,669,678,361,266,146,271,21,66,92,120,73,32,12,107,73,31,6,63,33,39,42,29,17,20,46,22,24,22,21,11
10,116402,112438,19591,6370,16826,4869,2417,2061,1486,153,173,922,987,661,776,1056,2190,44,993,127,673,215,198,131,216,31,83,94,56,56,37,32,135,37,82,115,35,38,19,23,14,14,8,15,14,43,10,8,19
