province,district_id,district,no_of_constituencies,Total_eligible_voters,Total_male_voters,Total_female_voters,valid_de_votes,Total_valid_pr_votes,Turnout_Rate_PR
pradesh-1,14,udayapur,2,228946,116095,112849,113616,114903,50.19
pradesh-1,3,illam,2,224877,115952,108923,123203,123874,55.09
pradesh-1,7,bhojpur,1,123379,64125,59253,58685,58743,47.61
pradesh-1,2,panchthar,1,138932,73366,65566,70791,71182,51.24
pradesh-1,5,sankhuwasabha,1,117554,60864,56690,62585,62102,52.83
pradesh-1,13,okhaldhunga,1,117897,59815,58081,62585,62659,53.15
pradesh-1,4,jhapa,5,663311,331044,332259,412306,416005,62.72
pradesh-1,11,solukhumbu,1,81502,42133,39369,37810,38317,47.01
pradesh-1,10,sunsari,4,544941,274705,270234,323110,327498,60.1
pradesh-1,12,khotang,1,142792,74927,67865,64422,64369,45.08
pradesh-1,6,terhathum,1,71933,36794,35139,39901,40657,56.52
pradesh-1,1,taplejung,1,88285,47080,41205,46391,46269,52.41
pradesh-1,9,morang,6,735525,374326,361193,456633,458853,62.38
pradesh-1,8,dhankuta,1,116991,58546,58445,66727,66320,56.69
pradesh-2,34,parsa,4,345928,194904,151008,225910,225303,65.13
pradesh-2,21,mahottari,4,397030,215131,181898,231140,234543,59.07
pradesh-2,20,dhanusa,4,474587,252915,221665,295424,298311,62.86
pradesh-2,32,rautahat,4,415455,227229,188225,269550,268635,64.66
pradesh-2,15,saptari,4,418374,217282,201071,261974,264270,63.17
pradesh-2,22,sarlahi,4,479038,259414,219614,288325,291028,60.75
pradesh-2,16,siraha,4,422712,224099,198611,264202,267819,63.36
pradesh-2,33,bara,4,433504,236880,196612,274652,275886,63.64
pradesh-3,28,lalitpur,3,250410,122274,128135,158281,160969,64.28
pradesh-3,29,kavrepalanchowk,2,310063,157947,152114,178271,179659,57.94
pradesh-3,26,kathmandu,10,652126,315254,336864,400475,405342,62.16
pradesh-3,24,dhading,2,265996,135401,130594,144304,144819,54.44
pradesh-3,30,sindhupalchowk,2,260273,134815,125458,139650,140404,53.94
pradesh-3,25,nuwakot,2,239726,123941,115782,123025,122842,51.24
pradesh-3,35,chitwan,3,408342,199032,209309,261796,262173,64.2
pradesh-3,19,sindhuli,2,208369,107410,100959,113911,113529,54.48
pradesh-3,18,ramechhap,1,180106,92069,88037,83899,84816,47.09
pradesh-3,23,rasuwa,1,39459,20118,19340,27427,27360,69.34
pradesh-3,17,dolakha,1,161450,81615,79835,81023,81332,50.38
pradesh-3,27,bhaktapur,2,194439,94683,99751,135402,137129,70.53
pradesh-3,31,makwanpur,2,300733,153528,147200,169468,170561,56.72
pradesh-4,51,parbat,1,122649,60651,61998,63716,65027,53.02
pradesh-4,45,nawalparasieast,2,260461,124336,136121,164193,163966,62.95
pradesh-4,49,myagdi,1,86120,42055,44064,47614,47732,55.42
pradesh-4,48,mustang,1,10957,5375,5581,7170,7556,68.96
pradesh-4,41,syangja,2,244089,119310,124778,136251,138812,56.87
pradesh-4,40,tanahun,2,248495,119650,128845,126931,128957,51.9
pradesh-4,38,lamjung,1,133559,65271,68288,77841,77998,58.4
pradesh-4,39,kaski,3,291568,139042,152522,170344,174489,59.85
pradesh-4,50,baglung,2,192227,93584,98643,98813,98102,51.03
pradesh-4,37,manang,1,6779,3281,3498,4827,5090,75.08
pradesh-4,36,gorkha,2,220637,109774,110863,108149,107574,48.76
pradesh-5,44,arghakhanchi,1,164768,82593,82175,87809,88737,53.86
pradesh-5,65,banke,3,332231,168853,163369,202486,201626,60.69
pradesh-5,66,bardiya,2,315284,154779,160499,184793,185414,58.81
pradesh-5,56,dang,3,414956,203908,211046,233329,233124,56.18
pradesh-5,46,rupandehi,5,638952,327433,311511,407453,410821,64.3
pradesh-5,53,rolpa,1,145471,72073,73398,61710,62200,42.76
pradesh-5,54,pyuthan,1,159760,77769,81990,83283,83690,52.38
pradesh-5,52,rukumeast,1,33098,16736,16362,19722,19964,60.32
pradesh-5,47,kapilvastu,3,378232,202125,176105,240053,241818,63.93
pradesh-5,43,palpa,2,201326,98208,103118,119044,119936,59.57
pradesh-5,42,gulmi,2,223615,110315,113298,125257,126566,56.6
pradesh-5,77,nawalparasiwest,2,241940,122969,118971,162207,164017,67.79
pradesh-6,61,humla,1,32857,17128,15729,24265,24617,74.92
pradesh-6,58,mugu,1,35485,18314,17171,25820,25378,71.52
pradesh-6,64,surkhet,2,243614,118738,124876,148041,148033,60.77
pradesh-6,60,kalikot,1,80733,42228,38505,44266,43714,54.15
pradesh-6,63,dailekh,2,158958,79520,79438,86307,88198,55.49
pradesh-6,78,rukumwest,1,104280,52735,51544,57295,57376,55.02
pradesh-6,59,jumla,1,68638,35700,32938,42806,43161,62.88
pradesh-6,57,dolpa,1,22774,11244,11530,17521,17683,77.65
pradesh-6,62,jajarkot,1,103363,54601,48760,61637,60283,58.32
pradesh-6,55,salyan,1,157701,80212,77489,76328,78574,49.82
pradesh-7,72,darchula,1,89154,45543,43611,55723,56522,63.4
pradesh-7,71,kailali,5,535514,261620,273883,298440,302648,56.52
pradesh-7,74,dadeldhura,1,91201,45392,45809,48016,48821,53.53
pradesh-7,75,kanchanpur,3,302509,146846,155662,174213,175001,57.85
pradesh-7,67,bajura,1,83567,42727,40838,58529,58610,70.14
pradesh-7,69,bajhang,1,122376,61682,60694,58613,59220,48.39
pradesh-7,73,baitadi,1,150156,74877,75277,72498,72340,48.18
pradesh-7,70,doti,1,124870,59135,65735,58583,58493,46.84
pradesh-7,68,achham,2,158657,77390,81265,79188,79713,50.24
