state_id,district_id,DISTRICT,district_EN,district
1,1,TAPLEJUNG,taplejung,ताप्लेजुंग
1,2,PANCHTHAR,panchthar,पाँचथर
1,3,ILAM,illam,इलाम
1,4,JHAPA,jhapa,झापा
1,5,SANKHUWASABHA,sankhuwasabha,संखुवासभा
1,6,TERHATHUM,terhathum,तेर्हथुम
1,7,BHOJPUR,bhojpur,भोजपुर
1,8,DHANKUTA,dhankuta,धनकुटा
1,9,MORANG,morang,मोरङ्ग
1,10,SUNSARI,sunsari,सुनसरी
1,11,SOLUKHUMBU,solukhumbu,सोलुखुम्बु
1,12,KHOTANG,khotang,खोटाङ्ग
1,13,OKHALDHUNGA,okhaldhunga,ओखलढुंगा
1,14,UDAYAPUR,udayapur,उदयपुर
2,15,SAPTARI,saptari,सप्तरी
2,16,SIRAHA,siraha,सिराहा
2,20,DHANUSHA,dhanusa,धनुषा
2,21,MAHOTTARI,mahottari,महोत्तरी
2,22,SARLAHI,sarlahi,सर्लाही
2,32,RAUTAHAT,rautahat,रौतहट
2,33,BARA,bara,बारा
2,34,PARSA,parsa,पर्सा
3,17,DOLAKHA,dolakha,दोलखा
3,18,RAMECHHAP,ramechhap,रामेछाप
3,19,SINDHULI,sindhuli,सिन्धुली
3,23,RASUWA,rasuwa,रसुवा
3,24,DHADING,dhading,धादिङ्ग
3,25,NUWAKOT,nuwakot,नुवाकोट
3,26,KATHMANDU,kathmandu,काठमाडौं
3,27,BHAKTAPUR,bhaktapur,भक्तपुर
3,28,LALITPUR,lalitpur,ललितपुर
3,29,KABHREPALANCHOK,kavrepalanchowk,काभ्रेपलाञ्चोक
3,30,SINDHUPALCHOK,sindhupalchowk,सिन्धुपाल्चोक
3,31,MAKAWANPUR,makwanpur,मकवानपुर
3,35,CHITAWAN,chitwan,चितवन
4,36,GORKHA,gorkha,गोरखा
4,37,MANANG,manang,मनाङ्ग
4,38,LAMJUNG,lamjung,लमजुंग
4,39,KASKI,kaski,कास्की
4,40,TANAHU,tanahun,तनहुँ
4,41,SYANGJA,syangja,स्याङ्जा
4,45,NAWALPARASI_E,nawalparasieast,नवलपरासी (बर्दघाट सुस्ता पूर्व)
4,48,MUSTANG,mustang,मुस्तांग
4,49,MYAGDI,myagdi,म्याग्दी
4,50,BAGLUNG,baglung,बागलुङ
4,51,PARBAT,parbat,पर्वत
5,42,GULMI,gulmi,गुल्मी
5,43,PALPA,palpa,पाल्पा
5,44,ARGHAKHANCHI,arghakhanchi,अर्घाखांची
5,46,RUPANDEHI,rupandehi,रुपन्देही
5,47,KAPILBASTU,kapilvastu,कपिलवस्तु
5,52,RUKUM_E,rukumeast,रुकुम पूर्व
5,53,ROLPA,rolpa,रोल्पा
5,54,PYUTHAN,pyuthan,प्यूठान
5,56,DANG,dang,दाङ
5,65,BANKE,banke,बाँके
5,66,BARDIYA,bardiya,बर्दिया
5,77,NAWALPARASI_W,nawalparasiwest,नवलपरासी (बर्दघाट सुस्ता पश्चिम)
6,55,SALYAN,salyan,सल्यान
6,57,DOLPA,dolpa,डोल्पा
6,58,MUGU,mugu,मुगु
6,59,JUMLA,jumla,जुम्ला
6,60,KALIKOT,kalikot,कालिकोट
6,61,HUMLA,humla,हुम्ला
6,62,JAJARKOT,jajarkot,जाजरकोट
6,63,DAILEKH,dailekh,दैलेख
6,64,SURKHET,surkhet,सुर्खेत
6,78,RUKUM_W,rukumwest,रुकुम पश्चिम
7,67,BAJURA,bajura,बाजुरा
7,68,ACHHAM,achham,अछाम
7,69,BAJHANG,bajhang,बझाङ्ग
7,70,DOTI,doti,डोटी
7,71,KAILALI,kailali,कैलाली
7,72,DARCHULA,darchula,दार्चुला
7,73,BAITADI,baitadi,बैतडी
7,74,DADELDHURA,dadeldhura,डडेलधुरा
7,75,KANCHANPUR,kanchanpur,कन्चनपुर
